x	sale.date	sales.rep	rep.sex	rep.region	rep.feedback	wine	type	cost	unit.price	units.sold	income	expenses	year
9998	1/9/2010	Shameka Mertes	0	North	7	Cabernet Sauvignon	red	3.624	13.03	16	208.48	7.19	2010
4655	1/9/2010	Jewel Copas	1	South	7	Pinot Gris	white	3.741	12.35	12	148.2	6.0325	2010
5085	1/9/2010	Lavera Mccallie	0	South	7	Cabernet Sauvignon	red	3.624	11.96	14	167.44	6.004	2010
1165	1/9/2010	Deloras Mcfetridge	0	West	8	Cabernet Sauvignon	red	3.624	12.08	10	120.8	6.0588	2010
5985	1/10/2010	Virgilio Mcelligott	1	Central	7	Merlot	red	2.229	7	20	140	4.9	2010
6663	1/10/2010	Aiko Hamsher	0	East	7	Merlot	red	2.229	7.43	15	111.45	4.8615	2010
6417	1/10/2010	Kym Velarde	0	East	5	Riesling	white	2.097	6.99	16	111.84	4.4205	2010
6991	1/10/2010	Clement Arias	1	North	4	Pinot Gris	white	3.741	13.42	6	80.52	6.77	2010
8065	1/10/2010	Mamie Fullington	0	South	5	Sauvignon Blanc	white	2.697	8.87	7	62.09	4.218	2010
5856	1/11/2010	Dannette Saltsman	0	Central	7	Pinot Gris	white	3.741	12.04	8	96.32	6.18	2010
874	1/11/2010	Lolita Wass	0	Central	6	Merlot	red	2.229	7	14	98	4.1	2010
641	1/11/2010	Virgilio Mcelligott	1	Central	8	Chardonnay	white	3.15	10.07	10	100.7	5.74	2010
8396	1/11/2010	Jewel Copas	1	South	6	Merlot	red	2.229	7.31	14	102.34	4.085	2010
3381	1/11/2010	Lesia Belt	0	West	7	Merlot	red	2.229	7.43	8	59.44	4.2636	2010
4143	1/11/2010	Lesia Belt	0	West	7	Merlot	red	2.229	7.43	18	133.74	4.692	2010
6085	1/11/2010	Lesia Belt	0	West	6	Merlot	red	2.229	7.43	12	89.16	3.9984	2010
369	1/12/2010	Karry Noell	0	East	6	Pinot Gris	white	3.741	12.47	23	286.81	6.9195	2010
4449	1/13/2010	Virgilio Mcelligott	1	Central	6	Pinot Gris	white	3.741	12.04	21	252.84	7.43	2010
7463	1/13/2010	Aiko Hamsher	0	East	6	Shiraz	red	6.051	20.17	9	181.53	10.8885	2010
1151	1/13/2010	Ben Gerry	1	East	6	Pinot Gris	white	3.741	12.47	18	224.46	6.9615	2010
421	1/13/2010	Kym Velarde	0	East	6	Merlot	red	2.229	7.43	9	66.87	4.872	2010
5358	1/13/2010	Kym Velarde	0	East	7	Pinot Gris	white	3.741	12.47	22	274.34	8.505	2010
8190	1/13/2010	Clement Arias	1	North	8	Merlot	red	2.229	8.38	17	142.46	4.84	2010
8719	1/13/2010	Tori Hastie	0	South	8	Shiraz	red	6.051	20.05	22	441.1	9.519	2010
9166	1/14/2010	Aiko Hamsher	0	East	8	Cabernet Sauvignon	red	3.624	12.08	10	120.8	6.993	2010
771	1/14/2010	Kym Velarde	0	East	6	Cabernet Sauvignon	red	3.624	12.08	13	157.04	6.5415	2010
7307	1/14/2010	Eura Begay	0	North	5	Cabernet Sauvignon	red	3.624	13.03	11	143.33	6.34	2010
8454	1/14/2010	Shameka Mertes	0	North	5	Chardonnay	white	3.15	11.45	6	68.7	5.23	2010
2420	1/14/2010	Vicki Kilkenny	0	West	6	Merlot	red	2.229	7.43	27	200.61	5.559	2010
1896	1/14/2010	Vicki Kilkenny	0	West	4	Pinot Gris	white	3.741	12.47	15	187.05	6.9156	2010
745	1/15/2010	Kym Velarde	0	East	6	Pinot Gris	white	3.741	12.47	7	87.29	7.035	2010
1426	1/15/2010	Clement Arias	1	North	8	Chardonnay	white	3.15	11.45	14	160.3	6.05	2010
1353	1/15/2010	Clement Arias	1	North	6	Sauvignon Blanc	white	2.697	9.94	14	139.16	5.66	2010
7650	1/15/2010	Eura Begay	0	North	7	Merlot	red	2.229	8.38	7	58.66	3.99	2010
6534	1/15/2010	Tori Hastie	0	South	7	Cabernet Sauvignon	red	3.624	11.96	24	287.04	7.4955	2010
5518	1/15/2010	Tori Hastie	0	South	7	Merlot	red	2.229	7.31	17	124.27	4.028	2010
5199	1/15/2010	Deloras Mcfetridge	0	West	5	Cabernet Sauvignon	red	3.624	12.08	3	36.24	6.0282	2010
3751	1/16/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	28	208.04	5.817	2010
6349	1/16/2010	Ben Gerry	1	East	8	Chardonnay	white	3.15	10.5	16	168	6.027	2010
6595	1/16/2010	Karry Noell	0	East	6	Merlot	red	2.229	7.43	18	133.74	5.586	2010
9680	1/16/2010	Clement Arias	1	North	5	Merlot	red	2.229	8.38	13	108.94	4.01	2010
8044	1/16/2010	Jewel Copas	1	South	7	Chardonnay	white	3.15	10.38	12	124.56	5.1205	2010
3267	1/16/2010	Bianca Suchan	0	West	7	Merlot	red	2.229	7.43	22	163.46	4.9572	2010
9707	1/16/2010	Bianca Suchan	0	West	7	Merlot	red	2.229	7.43	16	118.88	4.6002	2010
434	1/16/2010	Lesia Belt	0	West	7	Merlot	red	2.229	7.43	12	89.16	4.6308	2010
919	1/16/2010	Lesia Belt	0	West	5	Merlot	red	2.229	7.43	17	126.31	4.9368	2010
5172	1/17/2010	Dannette Saltsman	0	Central	6	Merlot	red	2.229	7	16	112	4.44	2010
934	1/17/2010	Virgilio Mcelligott	1	Central	6	Chardonnay	white	3.15	10.07	26	261.82	6.63	2010
5050	1/17/2010	Kym Velarde	0	East	6	Merlot	red	2.229	7.43	31	230.33	5.04	2010
3802	1/17/2010	Yolando Galicia	0	North	6	Chardonnay	white	3.15	11.45	16	183.2	5.63	2010
2136	1/17/2010	Bianca Suchan	0	West	7	Chardonnay	white	3.15	10.5	13	136.5	6.2424	2010
1189	1/18/2010	Kym Velarde	0	East	7	Shiraz	red	6.051	20.17	11	221.87	9.1035	2010
2901	1/18/2010	Jewel Copas	1	South	5	Pinot Gris	white	3.741	12.35	12	148.2	6.194	2010
7113	1/18/2010	Deloras Mcfetridge	0	West	8	Merlot	red	2.229	7.43	14	104.02	4.794	2010
3830	1/19/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	18	133.74	5.124	2010
7997	1/19/2010	Eura Begay	0	North	6	Chardonnay	white	3.15	11.45	32	366.4	7.21	2010
1936	1/19/2010	Shameka Mertes	0	North	5	Chardonnay	white	3.15	11.45	23	263.35	5.66	2010
8334	1/19/2010	Mamie Fullington	0	South	6	Chardonnay	white	3.15	10.38	11	114.18	5.1585	2010
5383	1/19/2010	Bianca Suchan	0	West	8	Cabernet Sauvignon	red	3.624	12.08	20	241.6	8.1294	2010
243	1/19/2010	Lesia Belt	0	West	6	Pinot Gris	white	3.741	12.47	11	137.17	6.0588	2010
3620	1/20/2010	Ben Gerry	1	East	5	Chardonnay	white	3.15	10.5	19	199.5	6.699	2010
1442	1/20/2010	Clement Arias	1	North	5	Chardonnay	white	3.15	11.45	19	217.55	6.31	2010
946	1/20/2010	Clement Arias	1	North	7	Pinot Gris	white	3.741	13.42	16	214.72	7.24	2010
6050	1/20/2010	Shameka Mertes	0	North	6	Sauvignon Blanc	white	2.697	9.94	21	208.74	6.17	2010
758	1/21/2010	Lolita Wass	0	Central	5	Pinot Gris	white	3.741	12.04	5	60.2	6.15	2010
1063	1/21/2010	Aiko Hamsher	0	East	5	Cabernet Sauvignon	red	3.624	12.08	19	229.52	6.993	2010
6518	1/21/2010	Kym Velarde	0	East	5	Cabernet Sauvignon	red	3.624	12.08	14	169.12	7.812	2010
4849	1/21/2010	Lavera Mccallie	0	South	3	Chardonnay	white	3.15	10.38	21	217.98	5.5765	2010
4057	1/21/2010	Bianca Suchan	0	West	8	Merlot	red	2.229	7.43	16	118.88	4.6104	2010
6299	1/21/2010	Bianca Suchan	0	West	5	Merlot	red	2.229	7.43	16	118.88	3.7536	2010
3689	1/21/2010	Deloras Mcfetridge	0	West	4	Chardonnay	white	3.15	10.5	19	199.5	6.222	2010
3847	1/22/2010	Aiko Hamsher	0	East	4	Chardonnay	white	3.15	10.5	4	42	5.3865	2010
3410	1/22/2010	Aiko Hamsher	0	East	5	Merlot	red	2.229	7.43	12	89.16	4.011	2010
9030	1/22/2010	Ben Gerry	1	East	5	Chardonnay	white	3.15	10.5	24	252	6.2895	2010
5572	1/22/2010	Kym Velarde	0	East	6	Merlot	red	2.229	7.43	40	297.2	6.216	2010
5013	1/22/2010	Jewel Copas	1	South	7	Merlot	red	2.229	7.31	12	87.72	3.3345	2010
2455	1/22/2010	Jewel Copas	1	South	6	Pinot Gris	white	3.741	12.35	15	185.25	5.7665	2010
6304	1/22/2010	Jewel Copas	1	South	5	Sauvignon Blanc	white	2.697	8.87	11	97.57	4.4175	2010
5310	1/22/2010	Lavera Mccallie	0	South	6	Chardonnay	white	3.15	10.38	20	207.6	5.434	2010
2291	1/22/2010	Tori Hastie	0	South	7	Chardonnay	white	3.15	10.38	8	83.04	4.579	2010
3433	1/22/2010	Lesia Belt	0	West	7	Merlot	red	2.229	7.43	5	37.15	3.8046	2010
1096	1/23/2010	Aiko Hamsher	0	East	4	Cabernet Sauvignon	red	3.624	12.08	13	157.04	7.1715	2010
6000	1/23/2010	Kym Velarde	0	East	4	Merlot	red	2.229	7.43	19	141.17	4.6515	2010
8439	1/23/2010	Shameka Mertes	0	North	5	Cabernet Sauvignon	red	3.624	13.03	18	234.54	6.99	2010
1539	1/23/2010	Jewel Copas	1	South	5	Merlot	red	2.229	7.31	21	153.51	5.2345	2010
7890	1/23/2010	Mamie Fullington	0	South	7	Pinot Gris	white	3.741	12.35	15	185.25	6.9445	2010
5717	1/23/2010	Tori Hastie	0	South	6	Chardonnay	white	3.15	10.38	27	280.26	7.163	2010
6826	1/24/2010	Nilda Hypolite	0	Central	7	Sauvignon Blanc	white	2.697	8.56	15	128.4	4.32	2010
5073	1/24/2010	Aiko Hamsher	0	East	5	Riesling	white	2.097	6.99	8	55.92	4.137	2010
38	1/24/2010	Clement Arias	1	North	5	Cabernet Sauvignon	red	3.624	13.03	9	117.27	6.62	2010
2471	1/24/2010	Shameka Mertes	0	North	7	Chardonnay	white	3.15	11.45	19	217.55	6.72	2010
523	1/24/2010	Lavera Mccallie	0	South	5	Merlot	red	2.229	7.31	14	102.34	3.99	2010
9619	1/25/2010	Jewel Copas	1	South	6	Merlot	red	2.229	7.31	27	197.37	5.6715	2010
2358	1/25/2010	Bianca Suchan	0	West	6	Merlot	red	2.229	7.43	18	133.74	4.9572	2010
7785	1/25/2010	Deloras Mcfetridge	0	West	5	Cabernet Sauvignon	red	3.624	12.08	11	132.88	6.9156	2010
9831	1/26/2010	Aiko Hamsher	0	East	5	Pinot Gris	white	3.741	12.47	11	137.17	6.4995	2010
5724	1/26/2010	Karry Noell	0	East	5	Chardonnay	white	3.15	10.5	12	126	5.3865	2010
3917	1/26/2010	Kym Velarde	0	East	4	Cabernet Sauvignon	red	3.624	12.08	17	205.36	6.678	2010
9481	1/26/2010	Clement Arias	1	North	7	Cabernet Sauvignon	red	3.624	13.03	12	156.36	5.31	2010
7368	1/26/2010	Clement Arias	1	North	7	Riesling	white	2.097	7.94	14	111.16	4.94	2010
3562	1/26/2010	Eura Begay	0	North	6	Sauvignon Blanc	white	2.697	9.94	12	119.28	4.56	2010
1634	1/26/2010	Lavera Mccallie	0	South	6	Cabernet Sauvignon	red	3.624	11.96	9	107.64	6.308	2010
8250	1/26/2010	Bianca Suchan	0	West	6	Pinot Gris	white	3.741	12.47	7	87.29	5.8956	2010
4358	1/26/2010	Deloras Mcfetridge	0	West	5	Chardonnay	white	3.15	10.5	16	168	5.508	2010
9706	1/26/2010	Lesia Belt	0	West	6	Pinot Gris	white	3.741	12.47	13	162.11	6.069	2010
6701	1/27/2010	Virgilio Mcelligott	1	Central	4	Chardonnay	white	3.15	10.07	23	231.61	6.16	2010
551	1/27/2010	Aiko Hamsher	0	East	5	Merlot	red	2.229	7.43	15	111.45	4.599	2010
5713	1/27/2010	Clement Arias	1	North	7	Merlot	red	2.229	8.38	20	167.6	5.31	2010
6498	1/27/2010	Eura Begay	0	North	6	Merlot	red	2.229	8.38	26	217.88	6.55	2010
4395	1/27/2010	Jewel Copas	1	South	6	Merlot	red	2.229	7.31	26	190.06	5.0825	2010
2543	1/27/2010	Jewel Copas	1	South	7	Riesling	white	2.097	6.87	31	212.97	4.997	2010
7295	1/27/2010	Tori Hastie	0	South	3	Merlot	red	2.229	7.31	9	65.79	3.2585	2010
9052	1/28/2010	Karry Noell	0	East	6	Sauvignon Blanc	white	2.697	8.99	11	98.89	5.334	2010
9598	1/28/2010	Shameka Mertes	0	North	6	Cabernet Sauvignon	red	3.624	13.03	28	364.84	8.34	2010
3412	1/29/2010	Tori Hastie	0	South	5	Merlot	red	2.229	7.31	15	109.65	4.4935	2010
4344	1/30/2010	Dannette Saltsman	0	Central	5	Merlot	red	2.229	7	20	140	5.05	2010
4537	1/30/2010	Nilda Hypolite	0	Central	5	Riesling	white	2.097	6.56	13	85.28	3.86	2010
5980	1/30/2010	Nilda Hypolite	0	Central	7	Shiraz	red	6.051	19.74	8	157.92	10.14	2010
7438	1/30/2010	Aiko Hamsher	0	East	4	Merlot	red	2.229	7.43	14	104.02	4.6095	2010
3350	1/30/2010	Ben Gerry	1	East	5	Pinot Gris	white	3.741	12.47	17	211.99	7.7175	2010
2369	1/30/2010	Karry Noell	0	East	5	Merlot	red	2.229	7.43	22	163.46	5.04	2010
1643	1/30/2010	Clement Arias	1	North	7	Chardonnay	white	3.15	11.45	17	194.65	6.09	2010
8350	1/30/2010	Clement Arias	1	North	6	Merlot	red	2.229	8.38	20	167.6	5.93	2010
8544	1/30/2010	Tori Hastie	0	South	7	Pinot Gris	white	3.741	12.35	42	518.7	7.98	2010
9659	1/31/2010	Karry Noell	0	East	6	Merlot	red	2.229	7.43	11	81.73	4.3575	2010
3456	1/31/2010	Eura Begay	0	North	4	Shiraz	red	6.051	21.12	7	147.84	11.42	2010
7526	1/31/2010	Vicki Kilkenny	0	West	5	Sauvignon Blanc	white	2.697	8.99	5	44.95	4.4982	2010
1412	2/1/2010	Dannette Saltsman	0	Central	4	Sauvignon Blanc	white	2.697	8.56	25	214	6.23	2010
692	2/1/2010	Virgilio Mcelligott	1	Central	5	Chardonnay	white	3.15	10.07	9	90.63	5.71	2010
245	2/1/2010	Virgilio Mcelligott	1	Central	5	Merlot	red	2.229	7	10	70	3.99	2010
7137	2/1/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	19	141.17	5.6805	2010
2880	2/1/2010	Kym Velarde	0	East	5	Merlot	red	2.229	7.43	13	96.59	4.452	2010
9391	2/1/2010	Tori Hastie	0	South	6	Cabernet Sauvignon	red	3.624	11.96	17	203.32	6.2035	2010
6728	2/2/2010	Nilda Hypolite	0	Central	6	Riesling	white	2.097	6.56	41	268.96	6.76	2010
7301	2/2/2010	Deloras Mcfetridge	0	West	5	Cabernet Sauvignon	red	3.624	12.08	13	157.04	6.8748	2010
114	2/3/2010	Dannette Saltsman	0	Central	5	Cabernet Sauvignon	red	3.624	11.65	6	69.9	5.63	2010
4078	2/3/2010	Nilda Hypolite	0	Central	7	Chardonnay	white	3.15	10.07	20	201.4	5.98	2010
76	2/3/2010	Aiko Hamsher	0	East	10	Shiraz	red	6.051	20.17	15	302.55	10.836	2010
8105	2/3/2010	Eura Begay	0	North	5	Chardonnay	white	3.15	11.45	10	114.5	5.45	2010
1708	2/3/2010	Tori Hastie	0	South	7	Chardonnay	white	3.15	10.38	16	166.08	5.5955	2010
4547	2/3/2010	Vicki Kilkenny	0	West	5	Chardonnay	white	3.15	10.5	24	252	6.9768	2010
943	2/4/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	18	133.74	4.788	2010
1771	2/4/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	13	96.59	4.2525	2010
2992	2/4/2010	Aiko Hamsher	0	East	5	Merlot	red	2.229	7.43	8	59.44	4.2525	2010
3126	2/4/2010	Eura Begay	0	North	7	Merlot	red	2.229	8.38	28	234.64	5.48	2010
6593	2/4/2010	Yolando Galicia	0	North	5	Merlot	red	2.229	8.38	13	108.94	4.61	2010
6411	2/5/2010	Karry Noell	0	East	7	Sauvignon Blanc	white	2.697	8.99	17	152.83	5.46	2010
3819	2/5/2010	Kym Velarde	0	East	4	Merlot	red	2.229	7.43	23	170.89	4.8615	2010
5558	2/5/2010	Eura Begay	0	North	6	Cabernet Sauvignon	red	3.624	13.03	28	364.84	8.23	2010
378	2/5/2010	Jewel Copas	1	South	6	Shiraz	red	6.051	20.05	5	100.25	10.564	2010
2435	2/5/2010	Deloras Mcfetridge	0	West	6	Pinot Gris	white	3.741	12.47	5	62.35	6.4362	2010
6268	2/5/2010	Lesia Belt	0	West	4	Cabernet Sauvignon	red	3.624	12.08	10	120.8	5.9364	2010
3441	2/6/2010	Nilda Hypolite	0	Central	8	Riesling	white	2.097	6.56	16	104.96	4.8	2010
1580	2/6/2010	Aiko Hamsher	0	East	6	Chardonnay	white	3.15	10.5	15	157.5	6.321	2010
7981	2/6/2010	Aiko Hamsher	0	East	6	Chardonnay	white	3.15	10.5	20	210	6.93	2010
6546	2/6/2010	Ben Gerry	1	East	7	Pinot Gris	white	3.741	12.47	16	199.52	7.476	2010
2127	2/6/2010	Karry Noell	0	East	8	Cabernet Sauvignon	red	3.624	12.08	23	277.84	7.938	2010
6395	2/6/2010	Karry Noell	0	East	6	Pinot Gris	white	3.741	12.47	26	324.22	7.9065	2010
8330	2/6/2010	Tori Hastie	0	South	7	Sauvignon Blanc	white	2.697	8.87	10	88.7	4.978	2010
9407	2/6/2010	Bianca Suchan	0	West	5	Pinot Gris	white	3.741	12.47	16	199.52	7.7622	2010
7901	2/7/2010	Lolita Wass	0	Central	7	Chardonnay	white	3.15	10.07	4	40.28	5.32	2010
1288	2/7/2010	Nilda Hypolite	0	Central	5	Merlot	red	2.229	7	10	70	4.31	2010
2010	2/7/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	24	178.32	5.355	2010
9675	2/7/2010	Kym Velarde	0	East	7	Sauvignon Blanc	white	2.697	8.99	7	62.93	4.872	2010
7619	2/8/2010	Jewel Copas	1	South	7	Pinot Gris	white	3.741	12.35	19	234.65	5.852	2010
4921	2/8/2010	Mamie Fullington	0	South	7	Merlot	red	2.229	7.31	4	29.24	3.2395	2010
3935	2/9/2010	Virgilio Mcelligott	1	Central	6	Pinot Gris	white	3.741	12.04	8	96.32	6.37	2010
9930	2/9/2010	Aiko Hamsher	0	East	6	Shiraz	red	6.051	20.17	14	282.38	10.2375	2010
425	2/9/2010	Kym Velarde	0	East	5	Merlot	red	2.229	7.43	24	178.32	5.733	2010
5063	2/9/2010	Yolando Galicia	0	North	6	Chardonnay	white	3.15	11.45	25	286.25	7.34	2010
395	2/10/2010	Eura Begay	0	North	4	Pinot Gris	white	3.741	13.42	18	241.56	7.92	2010
4326	2/10/2010	Bianca Suchan	0	West	7	Merlot	red	2.229	7.43	6	44.58	3.9678	2010
8092	2/10/2010	Bianca Suchan	0	West	5	Merlot	red	2.229	7.43	25	185.75	5.4978	2010
2606	2/11/2010	Aiko Hamsher	0	East	6	Merlot	red	2.229	7.43	9	66.87	4.452	2010
3447	2/11/2010	Jewel Copas	1	South	5	Merlot	red	2.229	7.31	13	95.03	3.9235	2010
1705	2/11/2010	Mamie Fullington	0	South	5	Chardonnay	white	3.15	10.38	21	217.98	5.7475	2010
766	2/11/2010	Bianca Suchan	0	West	7	Merlot	red	2.229	7.43	12	89.16	5.1816	2010
3138	2/11/2010	Vicki Kilkenny	0	West	5	Merlot	red	2.229	7.43	27	200.61	5.7324	2010
5125	2/12/2010	Clement Arias	1	North	5	Merlot	red	2.229	8.38	13	108.94	3.8	2010
1520	2/12/2010	Shameka Mertes	0	North	6	Merlot	red	2.229	8.38	8	67.04	3.85	2010
318	2/12/2010	Jewel Copas	1	South	7	Merlot	red	2.229	7.31	12	87.72	4.5125	2010
1742	2/12/2010	Lesia Belt	0	West	6	Pinot Gris	white	3.741	12.47	14	174.58	6.8034	2010
2385	2/12/2010	Vicki Kilkenny	0	West	5	Cabernet Sauvignon	red	3.624	12.08	6	72.48	5.865	2010
8319	2/13/2010	Clement Arias	1	North	6	Merlot	red	2.229	8.38	24	201.12	4.94	2010
590	2/13/2010	Eura Begay	0	North	6	Pinot Gris	white	3.741	13.42	15	201.3	6.49	2010
8055	2/13/2010	Yolando Galicia	0	North	6	Chardonnay	white	3.15	11.45	19	217.55	7.07	2010
2676	2/13/2010	Tori Hastie	0	South	5	Merlot	red	2.229	7.31	10	73.1	3.724	2010
2609	2/14/2010	Virgilio Mcelligott	1	Central	7	Cabernet Sauvignon	red	3.624	11.65	14	163.1	6.32	2010
8994	2/14/2010	Aiko Hamsher	0	East	5	Merlot	red	2.229	7.43	20	148.6	4.494	2010
8652	2/14/2010	Tori Hastie	0	South	8	Merlot	red	2.229	7.31	10	73.1	4.3415	2010
3478	2/14/2010	Bianca Suchan	0	West	6	Cabernet Sauvignon	red	3.624	12.08	18	217.44	7.2318	2010
3949	2/15/2010	Virgilio Mcelligott	1	Central	7	Sauvignon Blanc	white	2.697	8.56	25	214	6.57	2010
1743	2/15/2010	Kym Velarde	0	East	7	Pinot Gris	white	3.741	12.47	19	236.93	7.56	2010
2976	2/15/2010	Deloras Mcfetridge	0	West	5	Cabernet Sauvignon	red	3.624	12.08	11	132.88	6.1914	2010
1344	2/15/2010	Vicki Kilkenny	0	West	8	Chardonnay	white	3.15	10.5	17	178.5	6.5076	2010
8215	2/16/2010	Aiko Hamsher	0	East	7	Merlot	red	2.229	7.43	28	208.04	5.6595	2010
4360	2/16/2010	Aiko Hamsher	0	East	7	Pinot Gris	white	3.741	12.47	5	62.35	5.9955	2010
6052	2/16/2010	Kym Velarde	0	East	6	Chardonnay	white	3.15	10.5	11	115.5	5.67	2010
4847	2/16/2010	Tori Hastie	0	South	7	Cabernet Sauvignon	red	3.624	11.96	21	251.16	5.396	2010
753	2/17/2010	Lolita Wass	0	Central	6	Merlot	red	2.229	7	17	119	4.49	2010
810	2/17/2010	Nilda Hypolite	0	Central	6	Sauvignon Blanc	white	2.697	8.56	15	128.4	5.1	2010
4828	2/17/2010	Virgilio Mcelligott	1	Central	3	Cabernet Sauvignon	red	3.624	11.65	10	116.5	5.54	2010
8704	2/17/2010	Shameka Mertes	0	North	8	Pinot Gris	white	3.741	13.42	5	67.1	5.58	2010
1617	2/18/2010	Shameka Mertes	0	North	4	Cabernet Sauvignon	red	3.624	13.03	12	156.36	7.26	2010
